config,type,group,n_cols,auc,auc_std,delta_vs_full
FULL (all groups),full,—,113,0.8779591987438382,0.02474950384580132,0.0
− sequence_basic,logo,sequence_basic,110,0.876585664577652,0.022225287594465723,-0.001373534166186241
− wt_physchem,logo,wt_physchem,105,0.8723281958830131,0.027581234558013246,-0.005631002860825074
− codon_usage,logo,codon_usage,81,0.8723591751469414,0.023131873488122366,-0.005600023596896819
− gc_codon_indices,logo,gc_codon_indices,109,0.8731723655751406,0.03151276170326072,-0.004786833168697657
− variant_composition,logo,variant_composition,102,0.8785130104868234,0.019093596026006437,0.0005538117429851885
− alphamissense,logo,alphamissense,111,0.8757375941077328,0.02308344166050935,-0.0022216046361054342
− esm,logo,esm,108,0.8556348322207225,0.03472161697951783,-0.022324366523115757
− allele_frequency,logo,allele_frequency,93,0.8752856126825248,0.020901491548088038,-0.0026735860613134044
− am_af_interaction,logo,am_af_interaction,112,0.8739419480576409,0.026315026149093673,-0.004017250686197293
− rg_events,logo,rg_events,98,0.8809755952095214,0.023259628951114185,0.003016396465683191
− physchem_deltas,logo,physchem_deltas,105,0.8772864659761279,0.024974462423758188,-0.0006727327677102934
− substitution_score,logo,substitution_score,113,0.8747939976912031,0.021626525638446574,-0.0031652010526350693
sequence_basic only,isolation,sequence_basic,3,0.6775337831102928,0.027209635295642954,-0.20042541563354543
wt_physchem only,isolation,wt_physchem,8,0.747356265032638,0.04288772815623579,-0.13060293371120024
codon_usage only,isolation,codon_usage,32,0.7684112948838374,0.03359884718766847,-0.1095479038600008
gc_codon_indices only,isolation,gc_codon_indices,4,0.7445835274181961,0.02356019327256127,-0.1333756713256421
variant_composition only,isolation,variant_composition,14,0.7179044350111382,0.04790547778252259,-0.1600547637327
alphamissense only,isolation,alphamissense,3,0.755703354109647,0.04438962075707464,-0.12225584463419126
esm only,isolation,esm,5,0.7855020819179506,0.03804372774960092,-0.09245711682588764
allele_frequency only,isolation,allele_frequency,24,0.7024939072164009,0.06585947242758802,-0.17546529152743728
am_af_interaction only,isolation,am_af_interaction,2,0.6874713504389096,0.05886623830849124,-0.1904878483049286
rg_events only,isolation,rg_events,15,0.6994542778762047,0.04014956830498975,-0.17850492086763348
physchem_deltas only,isolation,physchem_deltas,8,0.7141089969485513,0.07562507851052896,-0.16385020179528687
substitution_score only,isolation,substitution_score,0,0.5559228393271778,0.03396595261625365,-0.3220363594166604
