feature,group,importance_mean,importance_std
esm_min,esm,0.008978027744043963,0.008129425400854418
esm_std,esm,0.006104849903860737,0.00558612310131517
esm_fraction_disruptive,esm,0.005528294496786963,0.004963880253009069
codon_G_GGT,codon_usage,0.003653989810678715,0.0026628270556203304
delta_ncpr,physchem_deltas,0.003392550536480606,0.0026858430134926578
af_am_score_weighted_by_rarity,allele_frequency,0.003291674058861598,0.0056014702487945725
am_std,alphamissense,0.003071803409542248,0.004790907121400331
esm_median,esm,0.0025167944584545943,0.004222723827494331
codon_S_TCT,codon_usage,0.0024774354907045612,0.003111917160466274
wt_kappa,physchem_deltas,0.0020983515218046095,0.0030674147159821994
wt_aromaticity,physchem_deltas,0.0019580534367690905,0.002401761846787097
codon_G_GGG,codon_usage,0.0018644468658573945,0.002576287069134992
delta_n_neg,physchem_deltas,0.001808905841306977,0.0030606424474423216
wt_n_neg,physchem_deltas,0.0016363369417093238,0.0015808560752746921
region_length,sequence_basic,0.0013456281464035288,0.0026946872483773615
delta_kappa,physchem_deltas,0.0013449983587943326,0.002281789347266033
af_frac_rare_delta_mis_syn,allele_frequency,0.0008791158674821041,0.0014110291741560965
am_max,alphamissense,0.0008781133571408203,0.004452889830671179
codon_A_GCG,codon_usage,0.0008137895609930854,0.0018853458386707753
sub_rate_hydrophobic_alter,substitution_classes,0.0008038793334080258,0.0023814411047947924
codon_L_CTC,codon_usage,0.0007842342469947522,0.0014893533132168833
codon_R_CGG,codon_usage,0.0006889873780608244,0.001960086479774974
delta_n_pos,physchem_deltas,0.0006725666227060601,0.0019590548758593755
af_rg_vs_nonrg_log10_delta_mis,allele_frequency,0.0006688397420418113,0.0018885572578432666
codon_T_ACC,codon_usage,0.0006059375980479093,0.0010346047755524122
af_frac_singleton_syn,allele_frequency,0.0005838692344003895,0.0016686439682496754
codon_F_TTC,codon_usage,0.0005558856997321464,0.0011467619946941262
rg_fraction_rgs_hit_LoF,rg_events,0.0005095474974314018,0.0025763176564124967
wt_n_pos,physchem_deltas,0.00045203661991289197,0.0022333080396103938
codon_R_AGA,codon_usage,0.0004240168218512627,0.0012597155417525434
codon_A_GCA,codon_usage,0.0004229450927893124,0.00125304975818
af_rg_n_variants,allele_frequency,0.0003973443263317353,0.001981487564174188
codon_D_GAT,codon_usage,0.00037554580175484136,0.0010566015757018671
codon_G_GGC,codon_usage,0.00036940531722846664,0.0014015254275555656
codon_G_GGA,codon_usage,0.0003683660893714953,0.0016669400292938993
codon_A_GCT,codon_usage,0.0003621700214109005,0.0009161924161708087
codon_A_GCC,codon_usage,0.0003319425476884048,0.0010619489018878208
codon_S_TCA,codon_usage,0.0003064370429669578,0.0011905630806919709
rg_mean_burden_on_hit_synonymous,rg_events,0.0003020281368964917,0.0014440363550707813
n_variants_total,variant_composition,0.0002929486009170992,0.0017065385831811872
wt_fraction_proline,physchem_deltas,0.00028176734194966557,0.0017219348877969636
sub_rate_aromatic_alter,substitution_classes,0.00027994057589997724,0.0012099447399867395
rg_mean_burden_on_hit_LoF,rg_events,0.0002780718708098813,0.0005816112443645436
sub_rate_proline_intro,substitution_classes,0.0002258545069032667,0.0018947138120885814
codon_H_CAC,codon_usage,0.00016544546010708588,0.0005982237349788735
delta_aromaticity,physchem_deltas,0.0001452369279907662,0.0024061876932112486
af_median_log10_syn,allele_frequency,0.00013814196515310394,0.001396896159641396
codon_R_CGC,codon_usage,0.00013349580404252223,0.001240085014340522
fraction_missense,variant_composition,0.0001264175032232611,0.0019789852008096193
density_LoF,variant_composition,0.00012602843841760848,0.003982613971504376
rg_fraction,sequence_basic,0.00011684352820833468,0.0017687498961387984
af_rg_frac_singleton,allele_frequency,9.957668797797026e-05,0.0009342384964766837
af_n_indel,allele_frequency,9.489044715437387e-05,0.0008072392930070133
density_missense,variant_composition,5.713548426556817e-05,0.001983232359882822
af_frac_singleton_indel,allele_frequency,5.3302499263512496e-05,0.00019419310149446285
rg_fraction_rgs_hit_missense,rg_events,4.888420162022622e-05,0.000397352957743963
af_median_log10_lof,allele_frequency,4.877570701447593e-05,0.0016486356588235956
codon_K_AAG,codon_usage,4.6381498924959136e-05,0.00037694524704381537
codon_N_AAC,codon_usage,4.39714756925118e-05,0.0009543073765359031
codon_T_ACG,codon_usage,4.091387385579882e-05,0.00020394322440737598
fraction_inframe_indel,variant_composition,3.7768981807326555e-05,0.0011159223067569155
fraction_LoF,variant_composition,3.273058778915328e-05,0.0034769573599031335
af_frac_common_mis,allele_frequency,1.7886040984677282e-05,0.0004192933903679998
af_frac_common_syn,allele_frequency,1.5029353165268768e-05,0.0007876689316242194
codon_P_CCA,codon_usage,1.0248037130325049e-05,0.0006007913532911702
codon_L_CTT,codon_usage,6.90030205222136e-06,0.00033962479571158767
codon_L_CTA,codon_usage,1.680892414905659e-06,0.00023737546740046546
codon_V_GTC,codon_usage,1.6445641862017378e-06,0.0002791557914701619
af_frac_common_indel,allele_frequency,2.220446049250313e-19,1.087791964408415e-18
n_other,variant_composition,0.0,0.0
rg_mean_burden_on_hit_inframe_indel,rg_events,-5.494505494505475e-07,2.691746970091393e-06
codon_I_ATA,codon_usage,-2.4132637220499793e-06,0.0001434726534543981
codon_V_GTT,codon_usage,-7.548693219509024e-06,0.00026088561719761873
delta_fraction_proline,physchem_deltas,-1.4099922067571727e-05,0.0017079779735751153
codon_R_CGA,codon_usage,-1.5436978703978513e-05,0.0015455736404771428
codon_Y_TAC,codon_usage,-2.0768991268941268e-05,0.0006923443882505817
codon_T_ACA,codon_usage,-2.820728280456674e-05,0.0005631375931490224
